7	8:5
307	8:3
685	5:3
695	8:1
734	8:1
742	8:4
915	1:5
967	4:1
1333	8:3,3:4
1856	8:5
1983	8:3
2133	8:2
2273	8:3
2442	1:3
3184	8:2
3285	8:1
3292	8:4
3321	8:1,1:3,5:4
3363	8:2
3378	8:5
3417	3:5
3518	8:4
3522	8:2
3604	8:3
3718	3:4
3798	6:4
4016	8:4
4326	1:4
4456	6:1
4477	8:3
4605	8:4
4706	8:5
4753	8:5
4783	3:4
4804	8:2
5225	3:4
5652	8:3
5749	8:5
5980	8:3
6154	8:4
6303	8:3
6384	3:3
6460	8:5,3:5
6510	3:3
6689	3:4
7116	8:1
7284	8:5
7798	6:3,4:4
7877	8:4
7963	8:3
8012	8:4
8117	5:5
8121	8:1
8209	8:3
8212	6:4
8493	8:2
8573	8:2
8651	8:2
8664	8:5
8753	8:3
8999	8:2
9321	8:3
9375	8:2
9660	8:3
10251	3:4
10612	8:1
10832	8:4
10972	8:3
10996	3:2
11007	8:5
11169	8:2
11186	5:4
11194	8:3
11310	8:5
11409	2:5
11547	8:3
11589	1:3,8:4
11988	8:5
12281	8:5
12537	8:4
12559	8:3
12765	8:1
13197	8:3
13432	5:3
13511	8:5
13561	8:3
13651	1:3
13822	8:3
13856	8:4
14035	3:5
14152	8:5
14225	8:3
14326	8:4
14389	8:3
14391	8:3
14421	8:4
14422	8:2
14728	8:2
14756	1:4
14924	1:5
14994	8:2
15042	8:5
15087	8:5
15218	8:5
15288	6:5
15420	3:2,8:3
15674	8:5
15796	8:2
15890	8:3
15966	8:2
16121	6:1
16229	3:4
16272	4:2,1:4,3:4
16361	8:1
16364	8:4
16475	8:4
16479	8:1
16818	3:3
17063	5:5
17088	8:5
17149	8:1
17252	8:3
17385	8:3
17510	8:5
17707	8:1
17713	8:4
17890	6:3
18645	8:4
18721	8:4
18753	8:1
18786	8:5
18896	8:4
18960	8:2
19006	5:5
19106	8:2
19289	5:5
19416	8:3
19489	8:4
19606	8:2
20122	8:4
20130	8:5
20177	8:4
20461	8:2
20492	8:5
20616	8:3
20634	8:3
20830	8:5
20936	8:1
21153	5:5
21262	8:4
21296	3:4
21368	8:5
21607	8:5
21619	8:2
21702	8:3
21722	1:4,8:4,4:3
21777	3:3
21953	8:2
21983	8:2,3:4
22015	6:4
22178	8:5
22355	8:1
22418	8:1
22575	6:5
22642	8:2
22663	8:1
22696	8:3
22718	8:5
22853	3:4
22887	8:2
23075	8:4
23086	8:5
23174	3:5
23304	8:3
23363	8:4
23830	8:3
23948	5:4
24088	8:3
24344	3:4
24705	8:4
24831	8:5
25049	3:4
25176	8:4
25342	8:2
25412	8:3
26101	6:5
26209	8:4
26345	8:5
26762	6:3
27003	8:4
27061	3:5
27376	8:4
28427	8:5
28531	8:2
28560	8:4
28581	8:3
28643	8:4
28932	8:2
28995	3:4
29129	8:4
29231	8:3
29236	8:1
29303	8:3
29350	5:1
29431	8:3
29478	6:3
29665	8:2
29762	8:2
29892	8:1
29948	6:3,3:3
30021	8:5
30245	1:5
30393	8:1
30401	8:3
30581	8:3
30878	5:1,1:4
30885	8:5
30996	8:1
31036	8:1
31231	8:4
31318	8:4
31361	5:4
31571	8:2
31630	8:4
31913	1:4
31969	8:4
32102	8:3
32130	8:5
32141	8:5
32275	8:3
32295	8:4
32555	3:2
32579	8:5
32762	8:5
32902	3:4
32963	8:3
33066	8:3
33256	5:4
33364	8:5
33430	8:1
33726	8:4
33750	8:5
33849	3:4
34531	8:4
34691	8:5
34726	8:2
34876	8:4
34907	1:3
34964	8:1
35036	8:3
35111	8:5
35278	8:4
35616	8:4
35647	8:1
35714	8:2
35770	3:5
35812	8:5
35986	8:5
36101	8:3
36124	8:4
36212	8:4
36302	8:2
36315	8:4
36414	8:4
36646	8:4
36818	5:5
36873	8:4
37038	8:1
37152	8:4
37419	8:5
37588	8:2
37743	8:3
37939	3:2
38052	1:3
38129	3:5,8:4
38514	8:5
39117	8:2
39253	8:4
39450	8:2
39526	5:4
39560	8:4
39571	8:5
39799	8:3
39809	8:1
39838	8:2
39953	6:4
40112	3:4
40136	6:3
40426	8:1
40450	8:5
40563	8:3
40774	8:1
41029	8:4
41307	8:5
41337	8:5
41371	3:5
41397	8:2
41422	2:4,8:4
41438	8:5
41477	8:4
41947	3:3
41955	8:2
42072	10:4
42092	8:1
42128	8:1
42147	8:4
42222	8:2
42263	8:5
42416	8:1
42501	8:3
42579	8:5
42773	4:3
42863	8:1
42921	1:3
42930	1:3
43039	8:3
43422	5:5
43669	8:2
43751	8:4
43906	8:3
44140	8:5
44317	8:4
44319	8:2
44367	8:3
44402	3:4
44481	8:2
44672	8:5
44737	8:5
44772	8:2
44783	3:3
44798	8:3
44887	8:1,6:5
44937	3:5
45117	1:5
45512	5:5
45683	8:2
45777	8:3
46036	8:2
46086	6:3,3:4
46154	5:5
46222	3:4
46360	3:5
46544	8:4
46567	3:4
46716	8:4
46773	8:2
46778	8:3
46827	8:3
46920	10:3
47021	8:1
47195	5:5
47269	8:4
47401	8:3
47411	5:5
47512	3:4
47541	3:3
47891	8:5
47998	8:3
48142	8:3
48179	8:1
48286	4:5
48289	8:3
49142	8:4
50123	3:3
50227	8:2
50870	8:4
51230	3:4
51233	8:5
51247	8:3
51334	1:4
51371	8:4
51413	3:4
51887	8:1
51892	8:5
52076	6:4
52153	8:3
52266	8:4
52439	8:1
52540	3:1
52631	8:2
52856	6:1
52949	8:3
53030	8:2
53364	8:3
53503	8:5
53553	8:2
53663	3:3
53694	3:4
53951	8:5
54136	8:3
54412	8:2
54606	8:3
54774	1:4
55016	1:3
55296	3:4
55311	8:5
55621	8:3
55913	8:3
56069	8:5
56113	8:3,5:5
56309	8:2
56741	8:4
56769	8:1
57278	6:3
57332	5:5
57407	8:1
57515	10:3
57633	3:4
57661	8:5
57911	8:4
57961	1:4
58235	8:1
58415	10:3,8:4
58479	8:3
58489	6:1
58842	8:2
59052	1:2
59303	8:4
59374	6:4
59550	8:1
59663	6:3
59936	8:2
60037	8:1
60343	1:5
60538	8:4
60582	5:5
60594	8:4
60746	8:4
60973	3:4
61483	8:1
61611	8:3
61765	3:4,8:2
61863	8:4
61935	8:5
62025	8:3
62055	8:3
62361	8:4
62449	8:3
62694	8:5
62741	8:4
62802	5:4
62904	8:4
62995	8:3
63025	8:2
63367	8:5
63452	8:1
63593	3:1
63623	8:2
63971	3:4
64079	8:3
64178	8:2
64270	8:1
64413	5:5
64423	5:5
64594	8:3
64612	8:4
64825	8:4
65003	8:5
65031	8:2
65047	8:3
65164	8:2
65173	8:3
65269	8:3
65292	8:5
65710	8:5
65847	8:1
65860	8:4
65902	8:3
65932	2:3
66230	3:3
66358	8:3
66414	3:5
66540	8:1
66570	8:2
66580	8:5
66585	8:4
66604	8:4
66852	3:3
66902	8:5
66989	8:1
67179	8:4
67221	8:4
67315	3:4
67648	8:5
67658	6:3
67923	8:2
68033	1:4
68175	8:1
68384	10:4
68408	8:3
68457	5:5
68526	8:3
